,0
407,(99.99999999998415+0j)
408,(99.99999999998562+0j)
409,(99.99999999998728+0j)
410,(99.99999999998887+0j)
411,(99.99999999999045+0j)
412,(99.99999999999167+0j)
413,(99.99999999999267+0j)
414,(99.9999999999936+0j)
415,(99.99999999999446+0j)
416,(99.99999999999518+0j)
417,(99.99999999999584+0j)
418,(99.99999999999643+0j)
419,(99.99999999999689+0j)
420,(99.99999999999726+0j)
421,(99.99999999999758+0j)
422,(99.99999999999787+0j)
423,(99.99999999999811+0j)
424,(99.99999999999832+0j)
425,(99.99999999999852+0j)
426,(99.99999999999869+0j)
427,(99.99999999999886+0j)
428,(99.99999999999902+0j)
429,(99.99999999999913+0j)
430,(99.99999999999925+0j)
431,(99.99999999999935+0j)
432,(99.99999999999945+0j)
433,(99.99999999999955+0j)
434,(99.99999999999963+0j)
435,(99.9999999999997+0j)
436,(99.99999999999976+0j)
437,(99.99999999999982+0j)
438,(99.99999999999987+0j)
439,(99.9999999999999+0j)
440,(99.99999999999993+0j)
441,(99.99999999999996+0j)
442,(99.99999999999999+0j)
443,(100+0j)
444,(100.00000000000001+0j)
445,(100.00000000000003+0j)
446,(100.00000000000004+0j)
447,(100.00000000000006+0j)
448,(100.00000000000007+0j)
449,(100.00000000000009+0j)
450,(100.0000000000001+0j)
451,(100.00000000000011+0j)
452,(100.00000000000013+0j)
453,(100.00000000000014+0j)
454,(100.00000000000014+0j)
455,(100.00000000000014+0j)
456,(100.00000000000014+0j)
457,(100.00000000000014+0j)
458,(100.00000000000014+0j)
459,(100.00000000000014+0j)
460,(100.00000000000014+0j)
461,(100.00000000000014+0j)
462,(100.00000000000014+0j)
463,(100.00000000000014+0j)
464,(100.00000000000014+0j)
465,(100.00000000000014+0j)
466,(100.00000000000014+0j)
467,(100.00000000000014+0j)
468,(100.00000000000014+0j)
469,(100.00000000000014+0j)
470,(100.00000000000014+0j)
471,(100.00000000000014+1.352190732103163e-22j)
472,(100.00000000000014+0j)
473,(100.00000000000014+0j)
474,(100.00000000000014+0j)
475,(100.00000000000014+0j)
476,(100.00000000000014+0j)
477,(100.00000000000014+0j)
478,(100.00000000000014+0j)
479,(100.00000000000014+0j)
480,(100.00000000000014+0j)
481,(100.00000000000014+0j)
482,(100.00000000000014+0j)
483,(100.00000000000014+0j)
484,(100.00000000000014+0j)
485,(100.00000000000014+0j)
486,(100.00000000000014+0j)
487,(100.00000000000014+0j)
488,(100.00000000000014+0j)
489,(100.00000000000014+0j)
490,(100.00000000000014+0j)
491,(100.00000000000014+0j)
492,(100.00000000000014+0j)
493,(100.00000000000014+0j)
494,(100.00000000000014+0j)
495,(100.00000000000014+0j)
496,(100.00000000000014+0j)
497,(100.00000000000014+0j)
498,(100.00000000000014+0j)
499,(100.00000000000014+0j)
500,(100.00000000000014+0j)
501,(100.00000000000014+0j)
502,(100.00000000000014+0j)
503,(100.00000000000014+0j)
504,(100.00000000000014+0j)
505,(100.00000000000014+0j)
506,(100.00000000000014+0j)
507,(100.00000000000014+0j)
508,(100.00000000000014+0j)
509,(100.00000000000014+0j)
510,(100.00000000000014+0j)
511,(100.00000000000014+0j)
512,(100.00000000000014+0j)
513,(100.00000000000014+0j)
514,(100.00000000000014+0j)
515,(100.00000000000014+0j)
516,(100.00000000000014+0j)
517,(100.00000000000014+0j)
518,(100.00000000000014+0j)
519,(100.00000000000014+0j)
520,(100.00000000000014+0j)
521,(100.00000000000014+0j)
522,(100.00000000000014+0j)
523,(100.00000000000014+0j)
524,(100.00000000000014+0j)
525,(100.00000000000014+0j)
526,(100.00000000000014+0j)
527,(100.00000000000014+0j)
528,(100.00000000000014+0j)
529,(100.00000000000014+0j)
530,(100.00000000000014+0j)
531,(100.00000000000014+0j)
532,(100.00000000000014+0j)
533,(100.00000000000014+0j)
534,(100.00000000000014+0j)
535,(100.00000000000014+0j)
536,(100.00000000000014+0j)
537,(100.00000000000014+0j)
538,(100.00000000000014+0j)
